9591760
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,0.004,0.001,0,-0.001,0.006,
2,0.004,0.001,-0.03,0.018,0.018,
3,0.006,0.001,-0.024,0.013,0.02,
4,0.008,-0.001,-0.016,-0.005,0.04,
5,0.008,-0.007,-0.009,-0.003,0.043,
6,0.004,-0.02,0.018,-0.003,0.037,
7,0.004,-0.035,0.034,-0.01,0.047,
8,0.003,-0.033,0.043,-0.013,0.047,
9,0.001,-0.058,0.064,-0.006,0.048,
10,-0.004,-0.052,0.06,0.004,0.045,
11,-0.019,-0.063,0.064,0.03,0.046,
12,0.021,-0.063,0.023,0.032,0.046,
13,0.02,-0.071,0.029,0.041,0.046,
14,0.02,-0.072,0.029,0.041,0.058,
15,0.019,-0.087,0.043,0.026,0.076,
16,0.018,-0.102,0.045,0.042,0.079,
17,0.019,-0.111,0.052,0.051,0.082,
18,0.019,-0.138,0.07,0.058,0.087,
19,0.011,-0.141,0.074,0.068,0.091,
20,0.009,-0.159,0.104,0.066,0.088,
21,0.008,-0.165,0.119,0.064,0.088,
22,0.006,-0.182,0.142,0.07,0.088,
23,0,-0.179,0.144,0.082,0.086,
24,0.008,-0.206,0.17,0.088,0.074,
25,0.021,-0.203,0.173,0.099,0.052,
26,0.018,-0.208,0.188,0.098,0.051,
27,0.022,-0.216,0.189,0.109,0.045,
28,0.021,-0.245,0.221,0.107,0.045,
29,0.019,-0.258,0.244,0.107,0.043,
30,0.032,-0.27,0.255,0.098,0.041,
31,0.026,-0.253,0.244,0.104,0.041,
32,0.022,-0.269,0.264,0.104,0.046,
33,0.023,-0.273,0.266,0.113,0.043,
34,0.035,-0.273,0.271,0.104,0.042,
35,0.035,-0.269,0.271,0.103,0.045,
36,0.036,-0.302,0.306,0.102,0.043,
37,0.044,-0.309,0.328,0.084,0.041,
38,0.04,-0.3,0.343,0.066,0.045,
39,0.034,-0.314,0.368,0.07,0.043,
40,0.025,-0.32,0.388,0.07,0.043,
41,0.027,-0.317,0.392,0.065,0.042,
42,0.03,-0.33,0.403,0.061,0.047,
43,0.021,-0.329,0.411,0.059,0.055,
44,0.029,-0.347,0.42,0.06,0.054,
45,0.029,-0.357,0.43,0.064,0.054,
46,0.028,-0.384,0.455,0.064,0.06,
47,0.03,-0.399,0.482,0.06,0.06,
48,0.031,-0.396,0.484,0.03,0.093,
49,0.027,-0.403,0.503,0.032,0.092,
50,0.046,-0.432,0.517,0.029,0.094,
51,0.045,-0.445,0.542,0.026,0.092,
52,0.038,-0.447,0.565,0.023,0.086,
53,0.033,-0.432,0.566,0.02,0.082,
54,0.032,-0.437,0.576,0.009,0.09,
55,0.009,-0.434,0.578,0.03,0.09,
56,-0.003,-0.429,0.595,0.03,0.09,
57,-0.005,-0.424,0.605,0.024,0.09,
58,0.002,-0.416,0.605,0.026,0.085,
59,-0.009,-0.405,0.602,0.036,0.084,
60,-0.002,-0.417,0.618,0.035,0.08,
61,-0.002,-0.409,0.621,0.037,0.08,
62,-0.005,-0.407,0.616,0.039,0.086,
63,-0.006,-0.411,0.612,0.038,0.1,
64,-0.006,-0.423,0.615,0.039,0.112,
65,-0.002,-0.444,0.641,0.035,0.108,
66,-0.002,-0.447,0.641,0.057,0.092,
67,0.002,-0.445,0.631,0.082,0.077,
68,0.008,-0.448,0.631,0.08,0.077,
69,0.014,-0.445,0.631,0.079,0.075,
70,0.02,-0.447,0.635,0.073,0.075,
71,0.026,-0.44,0.627,0.079,0.069,
72,0.032,-0.445,0.633,0.074,0.07,
73,0.031,-0.448,0.65,0.065,0.068,
74,0.023,-0.43,0.643,0.062,0.075,
75,0.019,-0.443,0.642,0.074,0.082,
76,0.017,-0.429,0.645,0.073,0.076,
77,0.015,-0.416,0.653,0.071,0.069,
78,0.022,-0.416,0.662,0.07,0.06,
79,0.022,-0.415,0.676,0.061,0.061,
80,0.02,-0.408,0.677,0.067,0.059,
81,0.02,-0.397,0.677,0.065,0.058,
82,0.019,-0.393,0.683,0.063,0.057,
