9591760
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,0.004,0.001,0,-0.001,0.006,
2,0.004,0.001,-0.03,0.018,0.018,
3,0.006,0.001,-0.024,0.013,0.02,
4,0.008,-0.001,-0.016,-0.005,0.04,
5,0.008,-0.007,-0.009,-0.003,0.043,
6,0.004,-0.02,0.018,-0.003,0.037,
7,0.004,-0.035,0.034,-0.01,0.047,
8,0.003,-0.033,0.043,-0.013,0.047,
9,0.001,-0.058,0.064,-0.006,0.048,
10,-0.004,-0.05,0.06,0,0.047,
11,-0.019,-0.049,0.064,0.002,0.06,
12,0.021,-0.049,0.023,0.004,0.06,
13,0.02,-0.051,0.029,0.001,0.066,
14,0.02,-0.052,0.029,0.001,0.078,
15,0.019,-0.067,0.043,-0.014,0.096,
16,0.018,-0.082,0.045,0.002,0.099,
17,0.019,-0.083,0.052,-0.009,0.114,
18,0.019,-0.104,0.07,-0.014,0.125,
19,0.011,-0.107,0.074,-0.004,0.129,
20,0.009,-0.125,0.104,-0.006,0.126,
21,0.008,-0.131,0.118,-0.008,0.127,
22,0.006,-0.148,0.141,-0.002,0.127,
23,0,-0.137,0.141,-0.01,0.139,
24,0.008,-0.164,0.167,-0.004,0.127,
25,0.021,-0.161,0.17,0.007,0.105,
26,0.018,-0.166,0.185,0.006,0.104,
27,0.022,-0.174,0.186,0.017,0.098,
28,0.021,-0.203,0.218,0.015,0.098,
29,0.019,-0.216,0.241,0.015,0.096,
30,0.032,-0.228,0.252,0.006,0.094,
31,0.026,-0.211,0.241,0.012,0.094,
32,0.022,-0.227,0.261,0.012,0.099,
33,0.023,-0.231,0.263,0.021,0.096,
34,0.035,-0.231,0.268,0.012,0.095,
35,0.035,-0.227,0.268,0.011,0.098,
36,0.036,-0.26,0.303,0.01,0.096,
37,0.044,-0.267,0.325,-0.008,0.094,
38,0.04,-0.258,0.34,-0.026,0.098,
39,0.034,-0.272,0.365,-0.022,0.096,
40,0.025,-0.278,0.385,-0.022,0.096,
41,0.027,-0.275,0.389,-0.027,0.095,
42,0.03,-0.288,0.4,-0.031,0.1,
43,0.021,-0.287,0.408,-0.033,0.108,
44,0.029,-0.305,0.417,-0.032,0.107,
45,0.029,-0.315,0.427,-0.028,0.107,
46,0.028,-0.342,0.452,-0.028,0.113,
47,0.03,-0.357,0.479,-0.032,0.113,
48,0.031,-0.354,0.481,-0.062,0.146,
49,0.027,-0.361,0.5,-0.06,0.145,
50,0.044,-0.39,0.514,-0.063,0.149,
51,0.043,-0.403,0.539,-0.066,0.147,
52,0.036,-0.405,0.562,-0.069,0.141,
53,0.031,-0.39,0.563,-0.072,0.137,
54,0.028,-0.395,0.573,-0.083,0.147,
55,0.005,-0.392,0.575,-0.062,0.147,
56,-0.007,-0.387,0.592,-0.062,0.147,
57,-0.009,-0.382,0.602,-0.068,0.147,
58,-0.002,-0.374,0.602,-0.066,0.142,
59,-0.013,-0.363,0.599,-0.056,0.141,
60,-0.006,-0.375,0.615,-0.057,0.137,
61,-0.006,-0.367,0.618,-0.055,0.137,
62,-0.009,-0.365,0.613,-0.053,0.143,
63,-0.01,-0.369,0.609,-0.054,0.157,
64,-0.01,-0.381,0.612,-0.053,0.169,
65,-0.006,-0.402,0.638,-0.057,0.165,
66,-0.006,-0.405,0.638,-0.035,0.149,
67,-0.002,-0.403,0.628,-0.01,0.134,
68,0.004,-0.406,0.628,-0.012,0.134,
69,0.01,-0.403,0.628,-0.013,0.132,
70,0.016,-0.405,0.632,-0.019,0.132,
71,0.022,-0.398,0.624,-0.013,0.126,
72,0.028,-0.403,0.63,-0.018,0.127,
73,0.027,-0.406,0.647,-0.027,0.125,
74,0.019,-0.388,0.64,-0.03,0.132,
75,0.015,-0.401,0.639,-0.018,0.139,
76,0.013,-0.387,0.642,-0.019,0.133,
77,0.011,-0.374,0.65,-0.021,0.126,
78,0.018,-0.374,0.659,-0.022,0.117,
79,0.018,-0.373,0.673,-0.031,0.118,
